23/01/2023 14:42, Temperatura Interna = 0.0, Temperatura Referencial = 0.0, Temperatura Ambiente = 26.11468483317294,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 71.125, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.104641141701723,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 71.0, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.099619296402672,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 71.0, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.094597451394655,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 70.875, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.094597451394655,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 70.8125, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.08957560667768,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 70.8125, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.084553762251744,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 70.6875, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.079531918116846,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 70.6875, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.06948823072016,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 70.5625, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.064466387458378,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 70.4375, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.059444544487633,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 70.4375, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.054422701807926,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 70.3125, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.049400859419258,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 70.25, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.044379017321624,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 70.25, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.039357175515033,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 70.125, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.03433533399948,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 70.0, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.029313492774964,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 40.0, Temperatura Referencial = 0.0, Temperatura Ambiente = 26.029313492774964,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 69.875, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.024291651841487,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 69.8125, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.019269811199045,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 69.8125, Temperatura Referencial = 40.0, Temperatura Ambiente = 26.014247970847645,  Ventoinha = 0%, Resistor = 0%
23/01/2023 14:42, Temperatura Interna = 40.0, Temperatura Referencial = 0.0, Temperatura Ambiente = 26.014247970847645,  Ventoinha = -100.0%, Resistor = 0%
